platform,car_seat_brand,car_seat_model,condition,source_column,pair_type
&Jog,Britax,B-Safe 35 Elite,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,B-Safe Ultra,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,B-Safe Gen2,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,B-Safe Gen2 FlexFit,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,B-Safe Gen2 FlexFit+,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Endeavour,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Chaperone,,&Jog,EXACT_SOURCE_PAIR
&Jog,UPPAbaby,Mesa,,&Jog,EXACT_SOURCE_PAIR
&Jog,UPPAbaby,Mesa V2,,&Jog,EXACT_SOURCE_PAIR
&Jog,UPPAbaby,Mesa Max,,&Jog,EXACT_SOURCE_PAIR
&Jog,UPPAbaby,Aria,,&Jog,EXACT_SOURCE_PAIR
&Jog,Nuna,PIPA aire RX,,&Jog,EXACT_SOURCE_PAIR
&Jog,Nuna,PIPA lite lx,,&Jog,EXACT_SOURCE_PAIR
&Jog,Nuna,PIPA lite,,&Jog,EXACT_SOURCE_PAIR
&Jog,Nuna,PIPA RX,,&Jog,EXACT_SOURCE_PAIR
&Jog,Nuna,PIPA,,&Jog,EXACT_SOURCE_PAIR
&Jog,Cybex,Aton Q & M,,&Jog,COMBINED_SOURCE_ENTRY
&Jog,Maxi-Cosi,Mico Max 30,,&Jog,EXACT_SOURCE_PAIR
&Jog,Maxi-Cosi,Mico 30,,&Jog,EXACT_SOURCE_PAIR
&Jog,Maxi-Cosi,Nxt,,&Jog,EXACT_SOURCE_PAIR
&Jog,Maxi-Cosi,Mico AP,,&Jog,EXACT_SOURCE_PAIR
&Jog,Clek,Liing,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Cyprus,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Willow,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Willow S,,&Jog,EXACT_SOURCE_PAIR
&Jog,Britax,Willow SC,,&Jog,EXACT_SOURCE_PAIR
&Jog,Chicco,Fit2 (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Chicco,Fit2 LE (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Chicco,Keyfit (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Chicco,Keyfit 35 (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
&Jog,Chicco,Keyfit 30 (all models),,&Jog,FAMILY_OR_SYSTEM_CLAIM
