id,provider,brand,title,canonicalBrand,canonicalName,tmbcCategory,productType,review_status,needs_review,active_in_feed,retailer,itemGroupId,price,productUrl
cmqx4kht300fx3a8ud6k3t7y5,shopify_macrobaby,Delta,"Delta Children - Baby Gap 2-In-1 Carriage Stroller, Camo Blue",Delta,BabyGap 2-in-1 Carriage,Strollers,compact stroller,REVIEWED,f,t,MacroBaby,7310414446651,244.79,https://www.macrobaby.com/products/delta-children-baby-gap-2-in-1-carriage-stroller-camo-blue?_j=taylormadebabyco.com
cmqx4kbf400dx3a8u2u7usaqc,shopify_macrobaby,Delta,"Delta Children - BabyGap Classic Side-by-Side Double Stroller, Navy Camo",Delta,Children - BabyGap Classic Side-by-Side Double,Strollers,double stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7148656689211,244.99,https://www.macrobaby.com/products/delta-children-babygap-classic-side-by-side-double-stroller-navy-camo?_j=taylormadebabyco.com
cmqx4k4xs00bx3a8u4jqad1u3,shopify_macrobaby,Delta,"Delta Children - BabyGap Classic Stroller, Pink Stripes",Delta,Children - BabyGap Classic,Strollers,umbrella stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7148658458683,148.99,https://www.macrobaby.com/products/delta-children-babygap-classic-stroller-pink-stripes?_j=taylormadebabyco.com
cmqx4kny700hu3a8up33u63e9,shopify_macrobaby,Delta,Delta - Gap Classic Umbrella Lightweight Stroller Grey,Delta,Gap Classic Umbrella,Strollers,umbrella stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7210343432251,148.99,https://www.macrobaby.com/products/delta-gap-classic-stroller-grey?_j=taylormadebabyco.com
cmqx4kqy400ir3a8u4ddkq6v5,shopify_macrobaby,Delta,"Delta - Jeep Adventureglyde Stroller By Delta Children, Black With Grey",Delta,Jeep Adventureglyde,Strollers,umbrella stroller,AUTO_CATEGORIZED,f,t,MacroBaby,7425270546491,99.99,https://www.macrobaby.com/products/delta-jeep-adventureglyde-stroller-by-delta-children-black-with-grey?_j=taylormadebabyco.com
cmqphxd4x05cxdqwrhdtbjq03,babylist_impact,Delta Children,Delta Children Icon Ultra Compact Lightweight Everyday & Travel Stroller in Navy,Delta Children,Delta Children Icon Ultra Compact Lightweight Everyday & Travel Stroller in Navy,Strollers,travel stroller,AUTO_CATEGORIZED,f,t,Babylist,58010,199.99,https://www.babylist.com/gp/delta-children-icon-ultra-compact-lightweight-everyday-travel-stroller/58010/2173515
cmqphxcvd05cudqwrj04zj5nb,babylist_impact,Delta Children,Delta Children Jeep Aries Stroller Wagon in Black/Green,Delta Children,Delta Children Jeep Aries Stroller Wagon in Black/Green,Strollers,wagon,AUTO_CATEGORIZED,f,t,Babylist,55787,399.99,https://www.babylist.com/gp/delta-children-jeep-aries-stroller-wagon/55787/2095382
cmr6sefh200334ubx8uymrnd2,impact_goodbuygear,Delta Children,"Delta Children Jeep Sport All-Terrain Stroller Wagon, Grey with Olive Green",Delta Children,Jeep Sport,Strollers,wagon,AUTO_CATEGORIZED,f,t,GoodBuyGear,,195.29,
cmqphxdwy05d6dqwr02959n5p,babylist_impact,Delta Children,Delta Children Jeep Sport All-Terrain Stroller Wagon in Grey/Blue Moon,Delta Children,Delta Children Jeep Sport All-Terrain Stroller Wagon in Grey/Blue Moon,Strollers,wagon,AUTO_CATEGORIZED,f,t,Babylist,55788,249.99,https://www.babylist.com/gp/delta-children-jeep-sport-all-terrain-stroller-wagon/55788/2095384
cmr6sgayy006l4ubxa49s48mv,impact_goodbuygear,Delta Children,"Delta Children Jeep TurboGlyde Jogging Stroller, Black, 2025",Delta Children,Jeep TurboGlyde,Strollers,jogging stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,127,
cmr6sevkv003l4ubxhw13r8az,impact_goodbuygear,Delta Children,"Delta Children Jeep TurboGlyde Plus Stroller, Black, 2023",Delta Children,Jeep TurboGlyde Plus,Strollers,full-size stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,67,
cmr6sj8r600g94ubx5myggmbj,impact_goodbuygear,Delta Children,"Delta Children Jeep TurboGlyde Side by Side Double Stroller, 2025, Black 2454",Delta Children,Jeep TurboGlyde Side by Side Double,Strollers,double stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,67.99,
cmqphxe6e05d9dqwr58ht8ka4,babylist_impact,Delta Children,Delta Children Jeep Wrangler Deluxe 4 Seater Stroller Wagon in Grey,Delta Children,Delta Children Jeep Wrangler Deluxe 4 Seater Stroller Wagon in Grey,Strollers,wagon,AUTO_CATEGORIZED,f,t,Babylist,55786,599.99,https://www.babylist.com/gp/delta-children-jeep-wrangler-deluxe-4-seater-stroller-wagon/55786/2095381
cmqsnbkkv00xirfr6e32al7gx,impact_goodbuygear,Delta Children,"Delta Children LX Side by Side Tandem Umbrella Stroller, 2025, Night Sky",Delta Children,LX Side by Side Tandem Umbrella,Strollers,double stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,77.99,
cmqsnekkh01urrfr6c69yqune,impact_goodbuygear,Delta Children,"Delta Children The Clutch Travel Stroller, 2025, Black",Delta Children,The Clutch Travel,Strollers,travel stroller,AUTO_CATEGORIZED,f,t,GoodBuyGear,,77.99,
